Order_Amount,QR_Order_System,Weekday,Visit_Time,Rainfall
1250.6655878940744,1,4,0.0,9.511551020062615
1203.4405451865973,0,5,2.0,1.4661415321892524
1018.4124857447329,0,0,2.0,1.666024833912314
1129.9119090779657,0,3,1.0,3.968548954193892
1142.6735578311864,0,3,0.0,4.235664208643346
1250.4040939328045,1,3,0.0,9.598848014980867
944.2893112660106,0,1,1.0,7.636923580754144
1320.223907565986,1,3,1.0,9.518012355287551
1374.621698968506,1,5,1.0,3.42428807314042
1182.5123783506408,0,2,2.0,5.904755124190954
1359.8819396596475,1,4,2.0,8.826891084522368
1317.8970923763893,0,6,0.0,3.3194449410844262
1195.436082148396,1,0,0.0,1.7360865642426093
920.5608279973579,0,0,0.0,2.6261228257811995
1158.8530253543802,0,4,2.0,2.6525384269034644
1184.586929511767,1,2,0.0,8.996630995512255
1224.90870997748,1,1,0.0,7.818098938742098
1548.324263705816,1,6,0.0,5.490858275724402
1456.9202023262653,1,6,2.0,5.46415851746429
1034.5609643528342,0,0,2.0,1.6170215522120701
1045.7003477307085,0,1,1.0,3.310996001094643
1383.2411488111675,1,5,0.0,2.0811248564326092
1002.0039021120407,0,1,2.0,4.176651974215306
1145.0327308504634,0,5,0.0,5.691803385932576
1156.3513235260104,1,0,2.0,1.6802410504753185
1149.406264236999,1,1,1.0,8.188157843415118
1153.551277737984,0,4,2.0,4.753416091061498
1303.3774358276485,1,3,2.0,2.1147502998859102
916.0895131290727,0,0,0.0,6.228113590338479
1369.3800867735245,1,3,0.0,0.32836038165983794
1134.6119929561833,0,5,0.0,4.575583990693602
1580.3643788095924,1,6,2.0,0.6400150078362321
897.6811058493264,0,0,0.0,7.021642654149644
1036.6685730160575,0,2,0.0,5.362228861234665
1023.887982559507,0,3,1.0,6.14539989474112
1111.9244033066177,1,0,0.0,0.8343720745086802
1094.1362969652864,1,1,0.0,2.2581008755026524
1157.3783240952187,0,3,2.0,4.178480838882493
1374.465316387995,1,5,1.0,8.344984892888082
1334.3288399259573,1,3,0.0,5.242334569419552
1249.4904805527594,1,3,0.0,4.2641291067631855
1358.0148632349174,0,6,2.0,3.3583671073815626
1128.8481783722223,1,0,0.0,2.3161122041670037
971.6136604340755,0,1,0.0,0.4700010748143679
1196.142907447842,1,1,0.0,2.388754712342087
1213.2311283332,1,1,1.0,2.8651966579166044
1220.3628043690392,1,0,1.0,7.879403249721234
1299.0233892354331,1,2,1.0,8.004560319762662
1391.0108567614977,1,4,0.0,3.7693009364371743
1406.726442076261,1,3,2.0,0.25121101199895857
1341.9071163437095,0,6,2.0,4.711410804506069
1120.3643281553573,0,3,0.0,8.985634184626463
1225.5117486522859,1,2,2.0,7.295541031835356
1240.2395977614196,0,4,2.0,0.7665870118352658
1218.1070871744134,1,2,2.0,6.789992886884417
1022.3318945547585,1,0,1.0,5.907369181846423
912.7822943499656,0,0,2.0,8.496265570314481
1379.1116736971976,1,4,1.0,4.719249925275358
1178.7762297984382,0,5,0.0,2.437269984491931
1450.706722875808,1,5,0.0,8.57387746904253
1577.569724142978,1,6,2.0,7.649522734452185
1089.3490127324867,1,0,1.0,6.582128116557532
1127.6375783893732,0,4,1.0,0.2779690102753163
1015.442768782155,0,1,0.0,4.086984083819694
1286.9908123851333,1,4,1.0,1.3931040182188603
1246.757177066897,1,1,0.0,4.616758789099428
1311.3144436518926,1,2,2.0,9.033164886918199
1360.2721732482864,1,2,1.0,1.7925957827382188
1072.783213879965,1,0,0.0,4.130952107895513
1292.093869900985,1,1,1.0,3.31723829633336
1270.0314543509458,1,1,0.0,0.30787047562366165
1224.0151921580843,1,1,2.0,1.6252038008519964
1233.1125280555527,1,1,1.0,4.378220139883815
1073.0039912320924,0,3,1.0,7.9725572326180005
1263.9362931963399,0,6,1.0,2.571422941284398
1128.465946419692,0,3,1.0,6.17271196990983
1209.2503117394372,0,6,0.0,3.9432158887442936
1021.5952570922059,0,2,2.0,5.744033862544981
1395.3177235361466,1,3,2.0,4.452552328937962
977.4729830401368,0,0,0.0,7.465400529870979
1296.8459349885416,0,6,2.0,3.5502153231954114
1286.494063873566,1,3,1.0,9.56906029490889
1360.4863815207248,1,5,2.0,5.070621490312149
1263.4711185428396,0,4,1.0,1.7713728960073616
1069.3909081186484,1,1,1.0,6.650555916167324
984.7389829420105,0,2,1.0,3.890137453271599
1320.5962919355104,1,4,1.0,0.5201648009988058
1380.4438665335258,1,3,0.0,3.1946741445890248
1324.7507914909786,1,4,2.0,8.483579488892216
1286.7428667295126,0,6,1.0,4.833632246769385
1153.2324299594616,0,4,1.0,4.067012011772743
1343.3095722013961,1,4,0.0,9.124667366719347
1411.1637843959277,1,3,2.0,6.283971118906665
1111.417207981457,0,4,0.0,3.4981365047438464
1364.8227626394257,1,4,1.0,5.547957815458572
1345.8753074686006,1,4,1.0,4.237738643185491
1010.1149660155322,0,0,2.0,3.2192144904830142
1269.5074694376133,0,6,0.0,6.055441258515184
1309.5262622053435,1,4,2.0,9.804621771374789
1132.2376725900258,0,3,1.0,3.8454147272236416
1320.560476238734,1,2,0.0,0.5164349738989205
1370.2967813940331,1,5,1.0,3.594581339563565
1224.3504447534785,0,5,2.0,2.229839562044803
1128.590758873362,0,5,1.0,3.404160248224548
996.8433555775307,0,0,0.0,5.073561682774283
977.7627828540867,0,1,1.0,0.7313328959064769
1478.7212247256523,1,5,2.0,0.9183969963477789
975.1347619840593,0,1,1.0,5.621968353519108
1220.774791944575,1,3,1.0,8.690450752016435
1019.6229017860029,0,0,2.0,4.654051866214115
1497.6313240792756,1,5,2.0,1.8589849412041926
1243.6506079770586,0,6,1.0,9.277705217856923
1069.400843395304,1,0,2.0,6.451150026284229
